SOURCE,DEST,TRIGGER
INITIATE,QUERY_SUBJECT_LOCATION,__3
QUERY_SUBJECT_LOCATION,ENTER_LANE,
,EXIT_LANE,
ENTER_LANE,exit,
EXIT_LANE,exit,
